city_id,location_uid,latitude,longitude
75056,75056_75001,48.8589,2.347
77001,77001_77760,48.3476,2.5653
77002,77002_77120,48.7327,3.14
77003,77003_77760,48.2897,2.5295
77004,77004_77390,48.6139,2.8051
77005,77005_77410,48.9232,2.7067
77006,77006_77630,48.4064,2.5561
77007,77007_77390,48.6524,2.8686
77008,77008_77440,48.9773,3.0124
77009,77009_77890,48.1819,2.5578
77010,77010_77720,48.619,2.8951
77011,77011_77570,48.2028,2.6022
77012,77012_77560,48.6668,3.354
77013,77013_77120,48.8488,3.0887
77014,77014_77210,48.4124,2.7337
77015,77015_77480,48.3925,3.3462
77016,77016_77167,48.2206,2.708
77018,77018_77700,48.845,2.8191
77019,77019_77118,48.3951,3.1493
77020,77020_77970,48.6762,3.1952
77021,77021_77130,48.3655,3.0481
77022,77022_77630,48.4472,2.6034
77023,77023_77910,49.0159,2.8793
77024,77024_77750,48.9244,3.2766
77025,77025_77118,48.3978,3.1902
77026,77026_77560,48.6005,3.4218
77027,77027_77890,48.1435,2.4896
77029,77029_77390,48.6432,2.8669
77030,77030_77510,48.8431,3.3252
77031,77031_77540,48.6772,2.9353
77032,77032_77320,48.7059,3.2489
77033,77033_77970,48.6674,3.2392
77034,77034_77115,48.5614,2.796
77035,77035_77940,48.241,3.0135
77036,77036_77970,48.6752,3.2243
77037,77037_77590,48.4735,2.7091
77038,77038_77350,48.5237,2.6164
77039,77039_77350,48.532,2.5896
77040,77040_77310,48.514,2.5686
77041,77041_77760,48.3099,2.4897
77042,77042_77169,48.8247,3.1379
77043,77043_77750,48.8974,3.2613
77044,77044_77720,48.5686,2.8734
77045,77045_77570,48.1958,2.6608
77046,77046_77760,48.2606,2.4483
77047,77047_77580,48.8816,2.9102
77048,77048_77780,48.3366,2.6982
77049,77049_77470,48.9144,2.9326
77050,77050_77620,48.1481,2.8318
77051,77051_77480,48.4157,3.2457
77052,77052_77720,48.5571,2.8805
77053,77053_77170,48.6904,2.6131
77054,77054_77940,48.3354,3.027
77055,77055_77177,48.8891,2.6394
77056,77056_77760,48.2327,2.5266
77057,77057_77750,48.9286,3.2346
77058,77058_77600,48.8297,2.7091
77059,77059_77600,48.8463,2.6783
77060,77060_77760,48.2902,2.4603
77061,77061_77130,48.3608,2.9888
77062,77062_77400,48.9041,2.6997
77063,77063_77515,48.799,2.9681
77065,77065_77930,48.4601,2.5237
77066,77066_77320,48.711,3.3433
77067,77067_77240,48.5693,2.5898
77068,77068_77520,48.5091,3.1407
77069,77069_77930,48.4723,2.6117
77070,77070_77120,48.7865,3.1343
77071,77071_77460,48.1914,2.8154
77072,77072_77171,48.5505,3.4482
77073,77073_77160,48.5288,3.3068
77075,77075_77144,48.8959,2.7737
77076,77076_77650,48.4904,3.2568
77077,77077_77910,48.9991,2.886
77078,77078_77260,48.987,3.1397
77079,77079_77430,48.4072,2.8101
77080,77080_77560,48.6695,3.2791
77081,77081_77390,48.6223,2.7316
77082,77082_77720,48.5869,2.8181
77083,77083_77420,48.8485,2.594
77084,77084_77660,48.9659,3.0299
77085,77085_77600,48.8581,2.7399
77086,77086_77720,48.5316,2.8571
77087,77087_77540,48.6519,2.9943
77088,77088_77760,48.3137,2.569
77089,77089_77370,48.5086,2.9601
77090,77090_77160,48.5588,3.1778
77091,77091_77610,48.7443,2.8352
77093,77093_77320,48.7752,3.3822
77094,77094_77410,48.9513,2.7775
77095,77095_77410,48.972,2.7559
77096,77096_77590,48.4958,2.7091
77097,77097_77320,48.7529,3.2637
77098,77098_77370,48.584,3.108
77099,77099_77570,48.149,2.6976
77100,77100_77820,48.5014,2.8016
77101,77101_77126,48.4198,3.097
77102,77102_77167,48.2311,2.6274
77103,77103_77820,48.539,2.8225
77104,77104_77610,48.7066,2.8166
77106,77106_77169,48.8232,3.1822
77107,77107_77390,48.6635,2.8472
77108,77108_77500,48.8845,2.5954
77109,77109_77160,48.611,3.1809
77110,77110_77570,48.1648,2.6525
77111,77111_77700,48.8718,2.7697
77112,77112_77760,48.246,2.603
77113,77113_77320,48.7365,3.1964
77114,77114_77173,48.7209,2.6747
77115,77115_77710,48.246,2.964
77116,77116_77320,48.7637,3.2078
77117,77117_77730,48.961,3.2462
77118,77118_77410,48.941,2.68
77119,77119_77370,48.6037,3.0123
77120,77120_77440,49.0182,3.1074
77121,77121_77090,48.8249,2.6758
77122,77122_77380,48.6602,2.5765
